name	description	filename	source_url	language	transcript	transcript_source
龙安闽	甜美闽南女	longanmin.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longanmin.mp3	Chinese (Minnan)	哇，你看这个小蛋糕好可爱哦，上面还有一个小兔子造型耶。看起来还软软的，我们买一个回去好不好？看起来真好吃的样子。	Whisper large-v3 + manual review
loongindah	印尼女	loongindah_v3.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v3-flash/audition/loongindah_v3.wav	Indonesian	Keberhasilan dimulai dari langkah pertama yang penuh keberanian.	Whisper large-v3
龙安柔	温柔闺蜜女	longanrou.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longanrou.mp3	Chinese	改练瑜伽吧我认识个超温柔的老师课后还能喝他亲自泡的咖啡呢保证让你身心轻松	Whisper large-v3
龙华	元气甜美女	longhua_v3.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/timbreList/longhua_v3.mp3	Chinese	一起加油吧，明天要去哪？咱们去喝杯奶茶冷静下，明天继续赶工也来得及。	Whisper large-v3 + manual review
龙嘉怡	知性粤语女	longjiayi_v2.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longjiayi_v2.mp3	Cantonese	上班再忙，都不要忘记照顾自己，记得多饮啲水，食啲好嘢。	Whisper large-v3 + manual review
龙应静	低调冷静女	longyingjing.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longyingjing.mp3	Chinese	这个是目前的平台规则先生确实抱歉	Whisper large-v3
龙安灵	思维灵动女	longanling.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longanling.mp3	Chinese	欢迎大家来到今天的播客节目今天咱们要聊的话题是关于职场成长的我会跟大家分享一些实用的小技巧希望能帮助大家在工作中少走一些弯路更快地实现自己的目标	Whisper large-v3
Yuuna	日语女	loongyuuna_v3.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v3-flash/audition/loongyuuna_v3.wav	Japanese	一致団結して何か新しいことをやろうじゃないか	Whisper large-v3
龙妙	抑扬顿挫女	longmiao_v3.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/timbreList/longmiao_v3.mp3	Chinese	月光洒在泛黄的纸页上，诗句化作溪流在耳畔潺潺。听徐志摩的柔情在康桥泛起涟漪，让《海子诗选》的麦浪与《陶渊明集》的南山，在声音的褶皱里悄然生长。	Whisper large-v3 + manual review
loongkyong	韩语女	loongkyong_v3.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v3-flash/audition/loongkyong_v3.wav	Korean	저는 운전을 하다 길을 잃어서 같은 길을 빙빙 돌아서 목적지에 도착했어요.	Whisper large-v3 + manual review
loongcally	美式英文女	loongcally_v3.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v3-flash/audition/loongcally_v3.wav	English	The sixth sense is not something that one can take off and put on at will.	Whisper large-v3
龙小淳	知性积极女	longxiaochun.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longxiaochun.mp3	Chinese	通过我们的服务您可以随时随地获取最新资讯管理日程安排甚至学习新知识快来体验吧让我们为您的日常生活增添一份便捷与乐趣	Whisper large-v3
YUMI	正经青年女	longyumi.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longyumi.mp3	Chinese	您好,这里是您的个人语音助手,致力于为您打造一个更加智慧的生活方式。只需要轻声说出您的需求,我们就会立即响应,并给出准确的答案或执行相应的任务。	Whisper large-v3
Bella3.0	精准干练女	loongbella_v2.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/loongbella_v2.mp3	Chinese	体育界传来喜讯,中国女子足球队在刚刚结束的世界锦标赛中表现出色,最终夺得了亚军的好成绩。球队成员们凭借顽强拼搏的精神,赢得了国内外球迷的高度评价。	Whisper large-v3
龙星	温婉邻家女	longxing_v2.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longxing_v2.mp3	Chinese	听说你上个月去云南了那边天气是不是特别舒服我夏天去一定热得要命	Whisper large-v3
龙应沐	优雅知性女	longyingmu.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longyingmu.mp3	Chinese	对于您所投诉的问题,我已经详细记录下来了,我们会在三个工作日内给您一个满意的答复,并及时跟进处理进度,您看可以吗?	Whisper large-v3
龙安亲	亲和活泼女	longanqin.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longanqin.mp3	Chinese	诶，你们听说了吗？楼下新开一家奶茶店，装修得特别清新，还有好多新奇的口味，像什么杨枝甘露爆珠茶、草莓奶冻茶，听着就想喝。咱们下班一起去试试呗，要是好喝的话，以后下午茶就有着落了。	Whisper large-v3 + manual review
龙婉	积极知性女	longwan_v2.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longwan_v2.mp3	Chinese	不要想这么多,事情会好起来的,你看路边那株歪脖子树还在努力开花呢,咱们这点小困难算什么?	Whisper large-v3
Riko	日语女	loongriko_v3.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v3-flash/audition/loongriko_v3.wav	Japanese	あの、前回借りたアニメDVD、もう見終わったので、今日で返します。そのー、最後のシーン、私がちょっと泣いちゃったんですけど、君はどう思いましたか?もしよかったら、ちょっとだけ感想を聞かせてもらえますか?	Whisper large-v3
龙应聆	温和共情女	longyingling.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longyingling.mp3	Chinese	嗯嗯,明白您的情况了,您别着急,稍等我马上帮您查询一下。	Whisper large-v3
龙菲菲	甜美娇气女	longfeifei_v2.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longfeifei_v2.mp3	Chinese	你最近是不是又熬夜了?明天我给你带热牛奶,顺便给你看我收藏的护眼食谱,保证让你眼睛亮晶晶的。	Whisper large-v3
芊悦	阳光自然女	qwen3_cherry.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Cherry.wav	Chinese	对吧,我就特别喜欢这种超市,尤其是过年的时候,去逛超市就觉得超级超级开心,然后买点东西就要买好多好多东西,这个也想买,那个也想买,然后买一堆东西带回去。	Whisper large-v3
墨讲师	学术讲师女	qwen3_elias.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Elias.wav	Chinese	对，那在古典文学当中呢，我们说这个香兰杜若啊，经常是会象征这个才子他的一个孤高和无奈。比如说在这个屈原的《离骚》当中就提起过，花开花落，它暗喻了人生的起伏。	Whisper large-v3 + manual review
千雪	乖巧，柔弱	qwen3_chelsie.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Chelsie.wav	Chinese	还让不让人好好减肥了？不行，你要请我一顿好的赔偿我。	Whisper large-v3 + manual review
少女阿月	正义少女	qwen3_stella.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Stella.wav	Chinese	哇，真的呢，面包香喷喷的，好想吃一口呀。不过，那个，作为越野兔，我得保持警惕。小镇这么和平，可不能有坏人捣乱，懂吧？	Whisper large-v3 + manual review
十三	暴躁大姐大	qwen3_vivian.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Vivian.wav	Chinese	铜锣湾只有一个浩南，导航界只有我这个大姐。系好安全带啊，这条路今天我罩你啊！这条路走了三年了，不想证明什么，我是想让你知道，你走错路了，大佬。重新规划吧，这次我帮你摆平。	Whisper large-v3 + manual review
乖小妹	乖巧女声	qwen3_mia.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Mia.wav	English	Hey friends, welcome back. I hope you're doing well today, and that wherever you're watching from, you're feeling a little warm, a little calm, maybe even holding your favorite drink. You know, something soft to settle into the day with.	Whisper large-v3 + manual review
四月	温柔女声	qwen3_maia.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Maia.wav	Chinese	我？你怎么知道我挺会背诗的？你是不是对我有一些了解？我高中语文也不是特别好吧，大概也就是全年级前十吧。	Whisper large-v3 + manual review
邻家妹妹	可爱萌妹	qwen3_nini.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Nini.wav	Chinese	哥哥,你怎么了呀,看你从刚才就没怎么说话,眉头还皱着,是不是遇到啥烦心事了,要是工作上不顺心,跟我说说呗,就算我帮不上大忙,听你念叨念叨也能舒服点呀。	Whisper large-v3
苏瑶	清新温柔女	qwen3_serena.wav	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/Serena.wav	Chinese	小狗,摸摸摸摸摸,你快看它,它好可爱。哇,它倒立了是不是?太厉害了。好呀,我们要不要用狗粮把它拐回家?嗯?	Whisper large-v3
